SEARCH,GRAMMAR AND PROSODY,ACCENTUATION,CLASSICAL PRONUNCIATION,ECCLESIASTICAL PRONUNCIATION
Alcmena," Ālcmēna, ae, f. ",Alc-mé-na,aːlkmeːna,alkmena
Alcmene," Ālcmēnē, es, f. ",Alc-mé-ne,aːlkmeːneː,alkmene
alea," ālĕa, ae, f. ",á-le-a,aːlɛa,alɛa
ales," ālĕs, itis, f. ",a-les,aːlɛs,alɛs
Alexander," Ălēxāndĕr, dri, m. ",A-le-xán-der,aleːksaːndɛr,aleksandɛr
Alexandrini," Ălēxāndrīni, orum, m. ",A-le-xan-drí-ni,aleːksaːndriːnɪ,aleksandrini
Alexandrinus," Ălēxāndrīnus, a, um ",A-le-xan-drí-nus,aleːksaːndriːnʊs,aleksandrinus
Alfenus," Ālfēnus, i, m. ",Al-fé-nus,aːlfeːnʊs,alfenus
algidus," ālgĭdus, a, um ",ál-gi-dus,aːlgɪdʊs,aldʒidus
Algidus," Ālgĭdus, i, m. ",Ál-gi-dus,aːlgɪdʊs,aldʒidus
alias," ălĭās, adv. ",á-li-as,alɪaːs,aljas
alibi," ălĭbī, adv. ",á-li-bi,alɪbiː,alibi
alieno," ălĭēno, as, are ",a-li-é-no,alɪeːno,aljeno
alienum," ălĭēnum, i, n. ",a-li-é-num,alɪeːnʊm,aljenum
alienus," ălĭēnus, a, um ",a-li-é-nus,alɪeːnʊs,aljenus
alienus," ălĭēnus, i, m. ",a-li-é-nus,alɪeːnʊs,aljenus
alimentum," ălĭmēntŭm, i, n. ",a-li-mén-tum,alɪmeːntʊm,alimentum
alio," ălĭō, adv. ",á-li-o,alɪoː,aljo
alioqui," ălĭōquī, adv. ",a-li-ó-qui,alɪoːkʷiː,aljokwi
aliquamdiu," ălĭquāmdĭū, ălĭquāndĭū, adv. ",a-li-quám-di-u,alɪkʷaːmdɪʊː,alikwamdiu
aliquando," ălĭquāndŏ, adv. ",a-li-quán-do,alɪkʷaːndɔ,alikwandɔ
aliquanto," ălĭquāntō, adv. ",a-li-quán-to,alɪkʷaːntoː,alikwanto
aliquantum," ălĭquāntŭm, adv. ",a-li-quán-tum,alɪkʷaːntʊm,alikwantum
aliquantum," ălĭquāntum, i, n. ",a-li-quán-tum,alɪkʷaːntʊm,alikwantum
aliquantus," ălĭquāntus, a, um ",a-li-quán-tus,alɪkʷaːntʊs,alikwantus
aliquis," ălĭquis, a, id, pron. ",á-li-quis,alɪkʷɪs,alikwis
aliquot," ălĭquŏt, dét. ",á-li-quot,alɪkʷɔt,alikwɔt
aliter," ălĭtĕr, adv. ",á-li-ter,alɪtɛr,alitɛr
alito," ălĭto, āre ",á-li-to,alɪto,alito
alium," ālĭum, ii, n. ",á-li-um,aːlɪʊm,alium
alius," ălĭus, a, ud, pron. ",á-li-us ,alɪʊs,aljus
Allobroges," Āllō̆brŏgēs, um, m. pl. ",Al-ló-bro-ges,aːlloː̆brɔgeːs,allɔbrɔdʒes
almus," ālmus, a, um ",al-mus,aːlmʊs,almus
alo," ălo, is, ere, ui, altum ",a-lo,alo,alo
Alpes," Ālpēs, ium, f. pl. ",Al-pes,aːlpeːs,alpes
Alpis," Ālpĭs, is, f. ",Al-pis,aːlpɪs,alpis
altar," āltăr, cf. altare ",al-tar,aːltar,altar
alte," āltē, adv. ",al-te,aːlteː,alte
alter," āltĕr, era, erum ",al-ter,aːltɛr,altɛr
alter," āltēr, ēris, m. ",al-ter,aːlteːr,alter
alternis," āltērnīs, adv. ",al-tér-nis,aːlteːrniːs,alternis
alternus," āltērnus, a, um ",al-tér-nus,aːlteːrnʊs,alternus
alternus," āltērnus, a, um ",al-tér-nus,aːlteːrnʊs,alternus
alteruter," āltĕrŭtĕr, a, um ",al-té-ru-ter,aːltɛrʊtɛr,altɛrutɛr
altitudo," āltĭtūdō, dinis, f. ",al-ti-tú-do,aːltɪtʊːdoː,altitudo
alto," ālto, āre ",al-to,aːlto,alto
altum," āltŭm, adv. ",al-tum,aːltʊm,altum
altus," āltus, a, um ",al-tus,aːltʊs,altus
alum," ālum, i, n. ",a-lum,aːlʊm,alum
alumnus," ălūmnus, a, um ",a-lúm-nus,alʊːmnʊs,alumnus
alumnus," ălūmnus, i, m.",a-lúm-nus,alʊːmnʊs,alumnus
alus," ālus, i, f. ",a-lus,aːlʊs,alus
alveus," ālvĕus, i, m. ",ál-ve-us,aːlwɛʊs,alvɛus
alvus," ālvus, i, f. ",al-vus,aːlwʊs,alvus
amabilis," ămābĭlĭs, e ",a-má-bi-lis,amaːbɪlɪs,amabilis
amans," ămāns, antis ",a-mans,amaːns,amans
amarus," ămārus, a, um ",a-má-rus,amaːrʊs,amarus
amator," ămātŏr, oris, m. ",a-má-tor,amaːtɔr,amatɔr
ambages," āmbāgēs, is, f. ",am-bá-ges,aːmbaːgeːs,ambadʒes
ambigo," āmbĭgo, is, ere, igi, actum ",ám-bi-go,aːmbɪgo,ambigo
ambiguus," āmbĭgŭus, a, um ",am-bí-gu-us,aːmbɪgwʊs,ambiguus
ambio," āmbĭo, is, ire, ii, itum ",ám-bi-o,aːmbɪo,ambjo
ambitio," āmbĭtĭō̆, onis, f. ",am-bí-ti-o,aːmbɪtɪoː̆,ambitsjo
ambitiosus," āmbĭtĭōsus, a, um ",am-bi-ti-ó-sus,aːmbɪtɪoːsʊs,ambitsjosus
ambitus," āmbītus, a, um ",am-bí-tus,aːmbiːtʊs,ambitus
ambitus," āmbĭtus, us, m. ",ám-bi-tus,aːmbɪtʊs,ambitus
ambo," āmbo, ambae, o, pl. ",am-bo,aːmbo,ambo
ambo," āmbo, ōnis, m. ",am-bo,aːmbo,ambo
ambulo," āmbŭlo, a, are ",ám-bu-lo,aːmbʊlo,ambulo
amens," āmēns, entis ",a-mens,aːmeːns,amens
amentia," āmēntĭa, ae, f. ",a-mén-ti-a,aːmeːntɪa,amentsja
amica," ămīca, ae, f. ",a-mí-ca,amiːka,amika
amicio," ămĭcĭo, is, ire, icui et ixi, ictum ",a-mí-ci-o,amɪkɪo,amitʃo
amicitia," ămīcĭtĭa, ae, f. ",a-mi-cí-ti-a,amiːkɪtɪa,amitʃitsja
amico," ămīco, āre ",a-mí-co,amiːko,amiko
amictus," ămīctus, a, um ",a-míc-tus,amiːktʊs,amiktus
amictus," ămīctus, us, m. ",a-míc-tus,amiːktʊs,amiktus
amicus," ămīcus, a, um ",a-mí-cus,amiːkʊs,amikus
amicus," ămīcus, i, m. ",a-mí-cus,amiːkʊs,amikus
amitto," āmītto, is, ere, misi, missum ",a-mít-to,aːmiːtto,amitto
amnis," āmnĭs, is, m. ",am-nis,aːmnɪs,amnis
amo," ămo, as, are ",a-mo,amo,amo
amoenitas," ămōenĭtās, atis, f. ",a-mœ́-ni-tas,amoɛ̯nɪtaːs,amenitas
amoenus," ămōenus, a, um ",a-mœ́-nus,amoɛ̯nʊs,amenus
amor," ămŏr, oris, m. ",a-mor,amɔr,amɔr
amoveo," āmŏvĕo, es, ere, moui, motum ",a-mó-ve-o,aːmɔwɛo,amɔvɛo
amphora," āmphŏra, ae, f. ",ám-pho-ra,aːmpʰɔra,amfɔra
ample," āmplē, adv. ",am-ple,aːmpleː,ample
amplecto," āmplēcto, as, are ",am-pléc-to,aːmpleːkto,amplekto
amplector," āmplēctŏr, eris, i, amplexus sum ",am-pléc-tor,aːmpleːktɔr,amplektɔr
amplexus," āmplēxus, a, um ",am-plé-xus,aːmpleːksʊs,ampleksus
amplexus," āmplēxus, us, m. ",am-plé-xus,aːmpleːksʊs,ampleksus
amplitudo," āmplĭtūdō, inis, f. ",am-pli-tú-do,aːmplɪtʊːdoː,amplitudo
amploctor," āmplōctŏr, exus, 3 ",am-plóc-tor,aːmploːktɔr,amploktɔr
amplus," āmplus, a, um ",am-plus,aːmplʊs,amplus
amputo," āmpŭto, as, are ",ám-pu-to,aːmpʊto,amputo
amurca," ămūrca, ae, f. ",a-múr-ca,amʊːrka,amurka
Amyntas," Ămȳntās, ae, m. ",A-mýn-tas,amʏːntaːs,amintas
an," ăn, con. ",an,an,an
anceps," āncēps, cipitis ",an-ceps,aːnkeːps,antʃeps
Anchises," Ānchīsēs, ae, m.  ",An-chí-ses,aːnkʰiːseːs,ankises
ancilla," āncīlla, ae, f. ",an-cíl-la,aːnkiːlla,antʃilla
ancillo," āncīllo, āre ",an-cíl-lo,aːnkiːllo,antʃillo
ancora," āncŏra, ae, f. ",án-co-ra,aːnkɔra,ankɔra
ango," āngo, is, ere, ",an-go,aːngo,ango
angụis," āngụĭs, is, m. ",an-guis,aːngwɪs,angwis
angulus," āngŭlus, i, m. ",án-gu-lus,aːngʊlʊs,angulus
angustia," āngūstĭa, ae, f. ",an-gús-ti-a,aːngʊːstɪa,angustja
angustio," āngūstĭo, āvi, ātum, 1 ",an-gús-ti-o,aːngʊːstɪo,angustjo
angustus," āngūstus, a, um ",an-gús-tus,aːngʊːstʊs,angustus
anima," ănĭma, ae, f. ",á-ni-ma,anɪma,anima
animadversio," ănĭmādvērsĭō̆, onis, f. ",a-ni-mad-vér-si-o,anɪmaːdweːrsɪoː̆,animadversjɔ
animadverto," ănĭmādvērto, is, ere, ti, sum ",a-ni-mad-vér-to,anɪmaːdweːrto,animadverto
animal," ănĭmăl, alis, n. ",á-ni-mal,anɪmal,animal
animans," ănĭmāns, antis, m. f. n. ",á-ni-mans,anɪmaːns,animans
animo," ănĭmo, as, are ",á-ni-mo,anɪmo,animo
animosus," ănĭmōsus, a, um ",a-ni-mó-sus,anɪmoːsʊs,animosus
animus," ănĭmus, i, m. ",á-ni-mus,anɪmʊs,animus
annales," ānnālēs, ium, m. pl. ",an-ná-les,aːnnaːleːs,annales
annalis," ānnālĭs, e ",an-ná-lis,aːnnaːlɪs,annalis
annalis," ānnālĭs, is, m. ",an-ná-lis,aːnnaːlɪs,annalis
annitor," ānnītŏr, eris, i, nixus  sum ",an-ní-tor,aːnniːtɔr,annitɔr
Annius," Ānnĭus, i, m. ",Án-ni-us,aːnnɪʊs,annjus
annona," ānnōna, ae, f. ",an-nó-na,aːnnoːna,annona
annono," ānnōno, āre ",an-nó-no,aːnnoːno,annono
annuo," ānnŭo, is, ere, nui, nutum ",án-nu-o,aːnnwo,annuo
annus," ānnus, i, m. ",an-nus,aːnnʊs,annus
annuum," ānnŭum, i, n. ",án-nu-um,aːnnwʊm,annuum
annuus," ānnŭus, a, um ",án-nu-us,aːnnwʊs,annuus
anser," ānsĕr, eris, m ",an-ser,aːnsɛr,ansɛr
ante," āntĕ, prep. +acc. ",an-te,aːntɛ,antɛ
antea," āntĕā, adv. ",án-te-a,aːntɛaː,antɛa
antecedo," āntĕcēdo, is, ere, cessi, cessum ",an-te-cé-do,aːntɛkeːdo,antɛtʃedo
anteeo," āntĕĕo, is, ire, ii, itum ",an-té-e-o,aːntɛɛo,antɛɛo
antefero," āntĕfĕro, fers, ferre, tuli, latum ",an-té-fe-ro,aːntɛfɛro,antɛfɛro
antepono," āntĕpōno, is, ere, posui, positum ",an-te-pó-no,aːntɛpoːno,antɛpono
antequam," āntĕquăm, con. sub. ",án-te-quam,aːntɛkʷam,antɛkwam
antes," āntēs, ium, m. ",an-tes,aːnteːs,antes
Antigonus," Āntĭgŏnus, i, m. ",An-tí-go-nus,aːntɪgɔnʊs,antigɔnus
Antiochus," Āntĭŏchus, i, m. ",An-tí-o-chus,aːntɪɔkʰʊs,antiɔkus
antiqui," āntīqui, orum, m. ",an-tí-qui,aːntiːkʷɪ,antikwi
antiquitas," āntīquĭtās, atis, f. ",an-tí-qui-tas,aːntiːkʷɪtaːs,antikwitas
antiquitus," āntīquĭtŭs, adv. ",an-tí-qui-tus,aːntiːkʷɪtʊs,antikwitus
antiquum," āntīquum, i, n. ",an-tí-quum,aːntiːkʷʊm,antikwum
antiquus," āntīquus, a, um ",an-tí-quus,aːntiːkʷʊs,antikwus
Antistius," Āntīstĭus, ii, m. ",An-tís-ti-us,aːntiːstɪʊs,antistjus
Antium," Āntĭum, ii, n. ",Án-ti-um,aːntɪʊm,antsjum
Antonia," Āntōnĭa, ae, f. ",An-tó-ni-a,aːntoːnɪa,antonja
Antonius," Āntōnĭus, a, um ",An-tó-ni-us,aːntoːnɪʊs,antonjus
Antonius," Āntōnĭus, ii, m.",An-tó-ni-us,aːntoːnɪʊs,antonjus
antrum," āntrŭm, i, n. ",an-trum,aːntrʊm,antrum
anulus," ānŭlus, i, m. ",á-nu-lus,aːnʊlʊs,anulus
anus," ānŭs, i, m. ",a-nus,aːnʊs,anus
anus," ănus, us, f. ",a-nus,anʊs,anus
anxie," ānxĭē, adv. ",án-xi-e,aːnksɪeː,anksje
anxius," ānxĭus, a, um ",án-xi-us,aːnksɪʊs,anksjus
aper," ăpĕr, apri, m. ",a-per,apɛr,apɛr
aperio," ăpĕrĭo, is, ire, ui, apertum ",a-pé-ri-o,apɛrɪo,apɛrjo
aperte," ăpērtē, adv. ",a-pér-te,apeːrteː,aperte
apertum," ăpērtum, i, n. ",a-pér-tum,apeːrtʊm,apertum
apertus," ăpērtus, a, um ",a-pér-tus,apeːrtʊs,apertus
apii," ăpĭi, orum, m. ",á-pi-i,apɪɪ,apji
apio," ăpĭo, ĕre ",á-pi-o,apɪo,apjo
apis," ăpĭs, is, f. ",a-pis,apɪs,apis
apiscor," ăpīscŏr, eris, i, aptus sum ",a-pís-cor,apiːskɔr,apiskɔr
apium," ăpĭum, ii, n. ",á-pi-um,apɪʊm,apjum
apius," ăpĭus, ii, m. ",á-pi-us,apɪʊs,apjus
apo," ăpo, ĕre ",a-po,apo,apo
Apollo," Ăpōllō, inis, m. ",A-pól-lo,apoːlloː,apollo
apparatus," āppărātus, a, um ",ap-pa-rá-tus,aːpparaːtʊs,apparatus
apparatus," āppărātus, us, m. ",ap-pa-rá-tus,aːpparaːtʊs,apparatus
appareo," āppārĕo, es, ere, ui, itum ",ap-pá-re-o,aːppaːrɛo,apparɛo
apparo," āppăro, as, are ",áp-pa-ro,aːpparo,apparo
appellatio," āppēllātĭō̆, onis, f ",ap-pel-lá-ti-o,aːppeːllaːtɪoː̆,appellatsjo
appello," āppēllo, as, are ",ap-pél-lo,aːppeːllo,appello
appello," āppēllo, is, ere, puli, pulsum ",ap-pél-lo,aːppeːllo,appello
appeto," āppĕto, ōnis, m. ",áp-pe-to,aːppɛto,appɛto
Appius," Āppĭus, a, um ",Áp-pi-us,aːppɪʊs,appjus
applico," āpplĭco, as, are ",áp-pli-co,aːpplɪko,appliko
appono," āppōno, is, ere, posui, positum ",ap-pó-no,aːppoːno,appono
approbo," āpprŏbo, as, are ",áp-pro-bo,aːpprɔbo,apprɔbo
approbus," āpprŏbus, a, um ",áp-pro-bus,aːpprɔbʊs,apprɔbus
appropinquo," āpprŏpīnquo, as, are ",ap-pro-pín-quo,aːpprɔpiːnkʷo,apprɔpinkwo
Aprilis," Ā̆prīlĭs, is, m. ",A-prí-lis,aː̆priːlɪs,aprilis
Apronius," Ā̆prōnĭus, i, m. ",A-pró-ni-us,aː̆proːnɪʊs,apronjus
apte," āptē, adv. ",ap-te,aːpteː,apte
apto," āpto, as, are ",ap-to,aːpto,apto
aptus," āptus, a, um ",ap-tus,aːptʊs,aptus
apud," ăpŭd, ăpŭt, prep. + acc. ",a-pud,apʊd,apud
Apulia," Āpūlĭa, ae, f. ",A-pú-li-a,aːpʊːlɪa,apulja
aqua," ăqua, ae, f. ",a-qua,akʷa,akwa
aquila," ăquĭla, ăquŏla, ae, f. ",á-qui-la,akʷɪla,akwila
aquilius," ăquĭlĭus, a, um ",a-quí-li-us,akʷɪlɪʊs,akwiljus
Aquilo," ăquĭlō̆, onis, f. ",á-qui-lo,akʷɪloː̆,akwilɔ
aquilus," ăquĭlus, a, um ",á-qui-lus,akʷɪlʊs,akwilus
ara," āra, ae, f. ",a-ra,aːra,ara
ara," ăra, ae, f. ",a-ra,ara,ara
arater," ărātĕr, tri, m. ",a-rá-ter,araːtɛr,aratɛr
arator," ărātŏr, oris, m. ",a-rá-tor,araːtɔr,aratɔr
aratrum," ărātrŭm, i, n. ",a-rá-trum,araːtrʊm,aratrum
arbiter," ārbĭtĕr, tri ",ár-bi-ter,aːrbɪtɛr,arbitɛr
arbitratus," ārbī̆trātus, a, um ",ar-bi-trá-tus,aːrbiː̆traːtʊs,arbĭtratus
arbitratus," ārbī̆trātus, us, m. ",ar-bi-trá-tus,aːrbiː̆traːtʊs,arbĭtratus
arbitrium," ārbī̆trĭŭm, i, n. ",ar-bí-tri-um,aːrbiː̆trɪʊm,arbĭtrjum
arbitro," ārbĭtro, āre ",ár-bi-tro,aːrbɪtro,arbitro
arbitror," ārbī̆trŏr, aris, ari, atus sum ",ár-bi-tror,aːrbiː̆trɔr,arbĭtrɔr
arbor," ārbŏr, oris, f. ",ar-bor,aːrbɔr,arbɔr
arbustum," ārbūstum, i, n. ",ar-bús-tum,aːrbʊːstʊm,arbustum
arbustus," ārbūstus, a, um ",ar-bús-tus,aːrbʊːstʊs,arbustus
arca," ārca, ae, f. ",ar-ca,aːrka,arka
arcanum," ārcānŭm, i, n. ",ar-cá-num,aːrkaːnʊm,arkanum
arcanus," ārcānus, a, um ",ar-cá-nus,aːrkaːnʊs,arkanus
arceo," ārcĕo, es, ere, ui ",ár-ce-o,aːrkɛo,artʃɛo
arcesso," ārcēsso, is, ere, iui, itum ",ar-cés-so,aːrkeːsso,artʃesso
arcus," ārcus, us, m. ",ar-cus,aːrkʊs,arkus
Ardea," ārdĕa, ae, f. ",ár-de-a,aːrdɛa,ardɛa
ardens," ārdēns, entis ",ar-dens,aːrdeːns,ardens
ardeo," ārdĕo, es, ere, arsi, arsurus ",ár-de-o,aːrdɛo,ardɛo
ardor," ārdŏr, oris, m. ",ar-dor,aːrdɔr,ardɔr
arduus," ārdŭus, a, um ",ár-du-us,aːrdwʊs,arduus
area," ārĕa, ae, f. ",á-re-a,aːrɛa,arɛa
arena," ărēna, ae, f. ",a-ré-na,areːna,arena
areo," ārĕo, es,ēre, arui, intr. ",á-re-o,aːrɛo,arɛo
argenteus," ārgēntĕus, a, um ",ar-gén-te-us,aːrgeːntɛʊs,ardʒentɛus
argentum," ārgēntŭm, i, n. ",ar-gén-tum,aːrgeːntʊm,ardʒentum
Argolicus," Ārgŏlĭcus, a, um ",Ar-gó-li-cus,aːrgɔlɪkʊs,argɔlikus
argumentum," ārgūmēntŭm, i, n. ",ar-gu-mén-tum,aːrgʊːmeːntʊm,argumentum
arguo," ārgŭo, is, ere, ui, utum ",ár-gu-o,aːrgwo,arguo
argutus," ārgūtus, a, um ",ar-gú-tus,aːrgʊːtʊs,argutus
aridus," ārĭdus, ārdus, a, um ",á-ri-dus,aːrɪdʊs,aridus
aries," ărĭēs, etis, m. ",á-ri-es,arɪeːs,arjes
Ariovistus," Arĭovīstus, i, m. ",A-ri-o-vís-tus,arɪowiːstʊs,arjovistus
arma," ārma, orum, n. pl. ",ar-ma,aːrma,arma
armati," ārmāti, orum, m. ",ar-má-ti,aːrmaːtɪ,armati
armatura," ārmātūra, ae, f. ",ar-ma-tú-ra,aːrmaːtʊːra,armatura
armatus," ārmātus, a, um ",ar-má-tus,aːrmaːtʊs,armatus
armatus," ārmātŭs, us, m. ",ar-má-tus,aːrmaːtʊs,armatus
Armenia," Ārmĕnĭa, ae, f. ",Ar-mé-ni-a,aːrmɛnɪa,armɛnja
Armenium," Ārmĕnĭum, ii, n. ",Ar-mé-ni-um,aːrmɛnɪʊm,armɛnjum
Armenius," Ārmĕnĭus, a, um ",Ar-mé-ni-us,aːrmɛnɪʊs,armɛnjus
armentum," ārmēntŭm, i, n. ",ar-mén-tum,aːrmeːntʊm,armentum
armiger," ārmĭgĕr, era, erum ",ár-mi-ger,aːrmɪgɛr,armidʒɛr
armiger," ārmĭgĕr, eri, m. ",ár-mi-ger,aːrmɪgɛr,armidʒɛr
Arminius," Ārmĭnĭus, i, m. ",Ar-mí-ni-us,aːrmɪnɪʊs,arminjus
armo," ārmo, as, are ",ar-mo,aːrmo,armo
armon," ārmŏn, i, n. ",ar-mon,aːrmɔn,armɔn
armus," ārmus, i, m. ",ar-mus,aːrmʊs,armus
aro," ăro, as, are ",a-ro,aro,aro
aron," ărŏn, i, n. ",a-ron,arɔn,arɔn
aros," ăros, i, f. ",a-ros,aros,aros
Arruntius," Ārrūntĭus, i, m. ",Ar-rún-ti-us,aːrrʊːntɪʊs,arruntsjus
ars," ārs, artis, f. ",ars,aːrs,ars
arte," ārtē, adv. ",ar-te,aːrteː,arte
articulus," ārtĭcŭlus, i, m. ",ar-tí-cu-lus,aːrtɪkʊlʊs,artikulus
artifex," ārtĭfēx, ĭcis ",ár-ti-fex,aːrtɪfeːks,artifeks
artifex," ārtĭfēx, icis, m. ",ár-ti-fex,aːrtɪfeːks,artifeks
artificium," ārtĭfĭcĭŭm, ii, n. ",ar-ti-fí-ci-um,aːrtɪfɪkɪʊm,artifitʃum
artus," ārtus, a, um ",ar-tus,aːrtʊs,artus
artus," ārtus, a, um ",ar-tus,aːrtʊs,artus
arum," ărum, i, n. ",a-rum,arʊm,arum
arundo," ărūndō, dinis, f. ",a-rún-do,arʊːndoː,arundo
Arverni," Ārvērni, orum, m. ",Ar-vér-ni,aːrweːrnɪ,arverni
Arvernus," Ārvērnus, i, m. ",Ar-vér-nus,aːrweːrnʊs,arvernus
arvum," ārvŭm, i, n. ",ar-vum,aːrwʊm,arvum
arvus," ārvus, a, um ",ar-vus,aːrwʊs,arvus
arx," ārx, arcis, f. ",arx,aːrks,arks
as," ās, assis, m. ",as,aːs,as
Ascanius," Āscănĭus, ii, m.",A-scá-ni-us,aːskanɪʊs,askanjus
ascendo," āscēndo, is, ere, ascendi, ascensum ",a-scén-do,aːskeːndo,aʃendo
ascensus," āscēnsus, us, m. ",a-scén-sus,aːskeːnsʊs,aʃensus
ascisco," āscīsco, is, ere, iui, itum ",a-scís-co,aːskiːsko,aʃisko
asellus," ăsēllus, i, m. ",a-sél-lus,aseːllʊs,asellus
Asia," Āsĭa, ae, f. ",Á-si-a,aːsɪa,asja
Asinius," Ăsĭnĭus, i, m. ",A-sí-ni-us,asɪnɪʊs,asinjus
Asium," Asĭum, ii, n. ",Á-si-um,asɪʊm,asjum
Asius," Ā̆sĭus, a, um ",Á-si-us,aː̆sɪʊs,asjus
aspectus," āspēctus, us, m. ",a-spéc-tus,aːspeːktʊs,aspektus
asper," āspĕr, era, erum ",a-sper,aːspɛr,aspɛr
aspergo," āspērgo, ĭnis, f. ",a-spér-go,aːspeːrgo,aspergo
aspergo," āspērgo, is, ere, spersi, spersum ",a-spér-go,aːspeːrgo,aspergo
asperitas," āspĕrĭtās, atis, f. ",a-spé-ri-tas,aːspɛrɪtaːs,aspɛritas
asperno," āspērno, as, are ",a-spér-no,aːspeːrno,asperno
aspernor," āspērnŏr, aris, ari, atus sum ",a-spér-nor,aːspeːrnɔr,aspernɔr
aspicio," āspĭcĭo, is, ere, spexi, spectum ",a-spí-ci-o,aːspɪkɪo,aspitʃo
aspiro," āspīro, as, are ",a-spí-ro,aːspiːro,aspiro
assero," āssĕro, is, ere, serui, sertum ",ás-se-ro,aːssɛro,assɛro
assum," āssŭm, i, n. ",as-sum,aːssʊm,assum
assus," āssus, a, um ",as-sus,aːssʊs,assus
astrum," āstrŭm, i, n. ",as-trum,aːstrʊm,astrum
astutus," āstūtus, āstus, a, um ",as-tú-tus,aːstʊːtʊs,astutus
at," ăt, con. coord. ",at,at,at
ater," ātĕr, tra, trum ",a-ter,aːtɛr,atɛr
athena," athēna, ae, f. ",a-thé-na,atʰeːna,atena
Athenae," Ăthēnāe, arum, f. pl. ",A-thé-næ,atʰeːnae̯,atenɛ
Atheniensis," Ăthēnĭēnsĭs, e ",A-the-ni-én-sis,atʰeːnɪeːnsɪs,atenjensis
athleta," āthlēta, ae, m. ",at-hlé-ta,aːtʰleːta,atleta
Atilius," Ătīlĭus, i, m. ",A-tí-li-us,atiːlɪʊs,atiljus
atque," ātquĕ, con. coord. ",at-que,aːtkʷɛ,atkwɛ
atqui," ātquī, con. coord. ",at-qui,aːtkʷiː,atkwi
Atrides," Ā̆trīdēs, ae, m. ",A-trí-des,aː̆triːdeːs,atrides
atrium," ātrĭŭm, i, n. ",á-tri-um,aːtrɪʊm,atrjum
atrocitas," ā̆trōcĭtās, atis, f. ",a-tró-ci-tas,aː̆troːkɪtaːs,atrotʃitas
atrox," ā̆trōx, ocis ",a-trox,aː̆troːks,atroks
attero," āttĕro, is, ere, attriui, attritum ",át-te-ro,aːttɛro,attɛro
Atticus," Āttĭcus, a, um ",Át-ti-cus,aːttɪkʊs,attikus
attineo," āttĭnĕo, es, ere, tinui, tentum ",at-tí-ne-o,aːttɪnɛo,attinɛo
Attius," Āttĭus, i, m. ",Át-ti-us,aːttɪʊs,attjus
attonitus," āttŏnĭtus, a, um ",at-tó-ni-tus,aːttɔnɪtʊs,attɔnitus
attono," āttŏno, as, are, ŭi, ĭtum ",át-to-no,aːttɔno,attɔno
auctio," āuctĭō̆, onis, f. ",áuc-ti-o,aʊ̯ktɪoː̆,au̯ktsjo
aucto," āucto, as, are ",auc-to,aʊ̯kto,au̯kto
auctor," āuctŏr, oris, m. ",auc-tor,aʊ̯ktɔr,au̯ktɔr
auctoritas," āuctōrĭtās, atis, f. ",auc-tó-ri-tas,aʊ̯ktoːrɪtaːs,au̯ktoritas
audacia," āudācĭa, ae, f. ",au-dá-ci-a,aʊ̯daːkɪa,au̯datʃa
audaciter," āudācĭtĕr, adv. ",au-dá-ci-ter,aʊ̯daːkɪtɛr,au̯datʃitɛr
audax," āudāx, acis ",au-dax,aʊ̯daːks,au̯daks
audeo," āudĕo, es, ere, ausus sum ",áu-de-o,aʊ̯dɛo,au̯dɛo
audio," āudĭo, is, ire, iui, itum ",áu-di-o,aʊ̯dɪo,au̯djo
auditor," āudītŏr, ōris, m. ",au-dí-tor,aʊ̯diːtɔr,au̯ditɔr
aufero," āufĕro, fers, ferre, abstuli, ablatum ",áu-fe-ro,aʊ̯fɛro,au̯fɛro
augeo," āugĕo, es, ere, auxi, auctum ",áu-ge-o,aʊ̯gɛo,au̯dʒɛo
augur," āugŭr, ŭris, m. ",au-gur,aʊ̯gʊr,au̯gur
augurium," āugŭrĭŭm, i, n. ",au-gú-ri-um,aʊ̯gʊrɪʊm,au̯gurjum
augurius," āugŭrĭus, a, um, cf. auguralis ",au-gú-ri-us,aʊ̯gʊrɪʊs,au̯gurjus
Augusta," Āugūsta, ae, f. ",Au-gús-ta,aʊ̯gʊːsta,au̯gusta
augusto," āugūsto, āre ",au-gús-to,aʊ̯gʊːsto,au̯gusto
augustus," āugūstus, a, um ",Au-gús-tus,aʊ̯gʊːstʊs,au̯gustus
Augustus," Āugūstus, i, m.",Au-gús-tus,aʊ̯gʊːstʊs,au̯gustus
aula," āula, ae, f. ",au-la,aʊ̯la,au̯la
aulus," āulus, i, m. ",au-lus,aʊ̯lʊs,au̯lus
aura," āura, ae, f. ",au-ra,aʊ̯ra,au̯ra
auratus," āurātus, a, um ",au-rá-tus,aʊ̯raːtʊs,au̯ratus
aureus," āurĕus, a, um ",áu-re-us,aʊ̯rɛʊs,au̯rɛus
aureus," āurĕus, i, m.",áu-re-us,aʊ̯rɛʊs,au̯rɛus
auriga," āurīga, ae, m. ",au-rí-ga,aʊ̯riːga,au̯riga
aurigo," āurīgo, as, are ",au-rí-go,aʊ̯riːgo,au̯rigo
auris," āurĭs, is, f. ",au-ris,aʊ̯rɪs,au̯ris
auro," āuro, as, āre ",au-ro,aʊ̯ro,au̯ro
aurora," Āurōra, ae, f. ",Au-ró-ra,aʊ̯roːra,au̯rora
auroro," āurōro, āre, intr. ",au-ró-ro,aʊ̯roːro,au̯roro
